time,P,G(i),H_sun,T2m,WS10m,Int
20230404:0810,488.63,546.54,35.04,0.0,6.62,0.0
20230404:0910,744.72,839.61,42.3,0.59,6.48,0.0
20230404:1010,892.48,1021.85,46.98,1.59,6.55,0.0
20230404:1110,905.26,1041.29,48.1,2.5,6.76,0.0
20230404:1210,860.16,987.79,45.38,3.13,6.76,0.0
20230404:1310,711.99,809.91,39.48,3.61,6.97,0.0
20230404:1410,499.33,568.49,31.43,3.94,6.62,0.0
20230404:1510,307.91,361.96,22.12,3.64,6.14,0.0
20230404:1610,114.43,159.93,12.18,3.23,5.86,0.0
20230404:1710,0.0,1.91,2.07,2.54,4.97,0.0
20230404:1810,0.0,0.0,0.0,1.63,4.76,0.0
20230404:1910,0.0,0.0,0.0,0.94,5.1,0.0
20230404:2010,0.0,0.0,0.0,0.08,4.76,0.0
20230404:2110,0.0,0.0,0.0,-0.69,4.41,0.0
20230404:2210,0.0,0.0,0.0,-1.37,4.0,0.0
20230404:2310,0.0,0.0,0.0,-1.91,3.72,0.0
20230405:0010,0.0,0.0,0.0,-2.28,3.59,0.0
20230405:0110,0.0,0.0,0.0,-2.54,3.38,0.0
20230405:0210,0.0,0.0,0.0,-2.74,3.38,0.0
20230405:0310,0.0,0.0,0.0,-2.9,3.38,0.0
20230405:0410,0.0,0.0,0.0,-3.01,3.38,0.0
20230405:0510,31.04,56.25,6.68,-2.89,3.24,0.0
20230405:0610,225.97,277.89,16.77,-2.03,3.86,0.0
20230405:0710,447.69,507.43,26.51,-0.39,4.69,0.0
20230405:0810,634.5,718.03,35.4,0.91,4.9,0.0
20230405:0910,783.7,902.35,42.68,1.86,4.62,0.0
20230405:1010,824.06,959.34,47.36,2.92,4.62,0.0
20230405:1110,831.06,972.94,48.48,3.66,4.55,0.0
20230405:1210,830.32,972.02,45.72,4.09,4.62,0.0
20230405:1310,719.74,833.98,39.78,4.55,4.76,0.0
20230405:1410,571.09,658.74,31.69,4.69,4.55,0.0
20230405:1510,357.57,423.68,22.36,4.68,4.34,0.0
20230405:1610,133.35,191.24,12.41,4.17,3.79,0.0
20230405:1710,0.0,4.78,2.3,3.57,3.17,0.0
20230405:1810,0.0,0.0,0.0,2.48,2.69,0.0
20230405:1910,0.0,0.0,0.0,1.8,2.69,0.0
20230405:2010,0.0,0.0,0.0,1.03,2.14,0.0
20230405:2110,0.0,0.0,0.0,0.29,1.86,0.0
20230405:2210,0.0,0.0,0.0,-0.33,1.86,0.0
20230405:2310,0.0,0.0,0.0,-0.58,1.86,0.0
20230406:0010,0.0,0.0,0.0,-1.09,1.93,0.0
20230406:0110,0.0,0.0,0.0,-1.07,1.93,0.0
20230406:0210,0.0,0.0,0.0,-1.16,1.86,0.0
20230406:0310,0.0,0.0,0.0,-1.28,1.86,0.0
20230406:0410,0.0,0.0,0.0,-1.32,1.86,0.0
20230406:0510,36.65,71.72,7.01,-1.49,1.86,0.0
20230406:0610,236.33,295.53,17.1,0.49,1.72,0.0
20230406:0710,461.7,532.88,26.85,2.43,3.59,0.0
20230406:0810,571.04,651.98,35.75,3.79,5.45,0.0
20230406:0910,734.67,847.91,43.05,4.65,5.66,0.0
20230406:1010,840.17,982.05,47.75,5.51,5.79,0.0
20230406:1110,812.73,952.23,48.85,6.35,5.86,0.0
20230406:1210,784.55,919.66,46.06,7.19,5.86,0.0
20230406:1310,685.06,797.51,40.07,7.44,5.79,0.0
20230406:1410,536.69,623.04,31.95,7.47,5.59,0.0
20230406:1510,328.53,392.66,22.6,7.46,5.66,0.0
20230406:1610,65.77,93.92,12.64,6.79,4.62,0.0
20230406:1710,0.0,2.87,2.53,5.62,3.93,0.0
20230406:1810,0.0,0.0,0.0,4.58,3.45,0.0
20230406:1910,0.0,0.0,0.0,5.0,3.31,0.0
20230406:2010,0.0,0.0,0.0,4.35,3.17,0.0
20230406:2110,0.0,0.0,0.0,3.87,2.97,0.0
20230406:2210,0.0,0.0,0.0,3.29,2.69,0.0
20230406:2310,0.0,0.0,0.0,2.98,2.48,0.0
20230407:0010,0.0,0.0,0.0,2.72,2.41,0.0
20230407:0110,0.0,0.0,0.0,2.59,2.34,0.0
20230407:0210,0.0,0.0,0.0,2.44,2.21,0.0
20230407:0310,0.0,0.0,0.0,2.21,2.14,0.0
20230407:0410,0.0,0.0,0.0,1.73,2.07,0.0
20230407:0510,29.84,51.5,7.33,1.47,1.93,0.0
20230407:0610,173.74,218.07,17.43,2.52,1.66,0.0
20230407:0710,165.55,203.84,27.19,5.08,2.21,0.0
20230407:0810,309.5,365.38,36.11,6.5,3.66,0.0
20230407:0910,326.36,386.65,43.43,7.6,4.0,0.0
20230407:1010,262.75,316.17,48.14,8.34,3.86,0.0
20230407:1110,294.51,353.36,49.22,8.83,3.72,0.0
20230407:1210,263.45,317.86,46.4,8.72,3.45,0.0
20230407:1310,243.06,293.38,40.37,7.83,3.17,0.0
20230407:1410,186.29,227.89,32.21,6.52,2.97,0.0
20230407:1510,59.19,83.91,22.84,5.41,3.03,0.0
20230407:1610,53.3,77.39,12.87,4.4,2.28,0.0
20230407:1710,0.0,1.91,2.75,3.91,1.66,0.0
20230407:1810,0.0,0.0,0.0,3.63,1.03,0.0
20230407:1910,0.0,0.0,0.0,4.84,0.34,0.0
20230407:2010,0.0,0.0,0.0,4.57,0.41,0.0
20230407:2110,0.0,0.0,0.0,4.16,0.41,0.0
20230407:2210,0.0,0.0,0.0,3.9,0.34,0.0
20230407:2310,0.0,0.0,0.0,3.49,0.41,0.0
20230408:0010,0.0,0.0,0.0,2.96,0.48,0.0
20230408:0110,0.0,0.0,0.0,2.3,0.83,0.0
20230408:0210,0.0,0.0,0.0,2.41,1.03,0.0
20230408:0310,0.0,0.0,0.0,1.94,0.83,0.0
20230408:0410,0.0,0.0,0.0,1.57,0.69,0.0
20230408:0510,0.95,7.81,7.66,1.55,0.48,0.0
20230408:0610,17.76,33.17,17.76,1.68,0.41,0.0
20230408:0710,41.66,62.44,27.53,1.48,1.24,0.0
20230408:0810,53.34,76.1,36.46,1.68,1.38,0.0
20230408:0910,76.29,102.44,43.8,2.34,1.79,0.0
20230408:1010,80.41,107.32,48.52,3.04,2.28,0.0
20230408:1110,85.28,113.18,49.59,4.02,2.76,0.0
20230408:1210,64.44,89.76,46.73,4.8,3.03,0.0
20230408:1310,53.38,77.08,40.66,5.23,3.31,0.0
20230408:1410,44.31,66.35,32.47,4.96,3.24,0.0
20230408:1510,45.12,67.32,23.07,4.98,3.03,0.0
20230408:1610,46.65,69.45,13.09,4.76,3.03,0.0
20230408:1710,0.0,3.82,2.98,4.3,2.34,0.0
20230408:1810,0.0,0.0,0.0,3.72,2.0,0.0
20230408:1910,0.0,0.0,0.0,2.61,1.59,0.0
20230408:2010,0.0,0.0,0.0,2.51,1.45,0.0
20230408:2110,0.0,0.0,0.0,2.23,1.24,0.0
20230408:2210,0.0,0.0,0.0,1.78,1.24,0.0
20230408:2310,0.0,0.0,0.0,1.28,1.31,0.0
20230409:0010,0.0,0.0,0.0,1.31,1.24,0.0
20230409:0110,0.0,0.0,0.0,1.47,1.24,0.0
20230409:0210,0.0,0.0,0.0,1.11,1.38,0.0
20230409:0310,0.0,0.0,0.0,0.76,1.45,0.0
20230409:0410,0.0,0.0,0.0,0.55,1.45,0.0
20230409:0510,15.65,30.25,7.98,0.49,1.31,0.0
20230409:0610,16.24,31.22,18.08,2.19,1.1,0.0
20230409:0710,75.16,101.47,27.86,2.56,0.55,0.0
20230409:0810,94.98,123.91,36.81,3.05,1.31,0.0
20230409:0910,271.6,323.66,44.17,4.38,1.38,0.0
20230409:1010,309.45,369.0,48.9,5.48,1.45,0.0
20230409:1110,193.6,238.06,49.96,6.99,1.59,0.0
20230409:1210,178.76,221.48,47.06,7.51,1.79,0.0
20230409:1310,170.03,212.03,40.95,8.12,1.79,0.0
20230409:1410,249.83,302.73,32.72,8.21,1.79,0.0
20230409:1510,285.43,347.75,23.3,8.0,1.72,0.0
20230409:1610,64.6,92.3,13.31,7.34,1.86,0.0
20230409:1710,3.28,12.42,3.21,6.03,1.45,0.0
20230409:1810,0.0,0.0,0.0,5.11,1.52,0.0
20230409:1910,0.0,0.0,0.0,3.94,1.72,0.0
20230409:2010,0.0,0.0,0.0,2.91,1.86,0.0
20230409:2110,0.0,0.0,0.0,2.45,1.72,0.0
20230409:2210,0.0,0.0,0.0,1.92,1.86,0.0
20230409:2310,0.0,0.0,0.0,1.68,1.93,0.0
20230410:0010,0.0,0.0,0.0,1.25,2.0,0.0
20230410:0110,0.0,0.0,0.0,0.91,2.0,0.0
20230410:0210,0.0,0.0,0.0,0.56,2.07,0.0
20230410:0310,0.0,0.0,0.0,0.39,2.14,0.0
20230410:0410,0.0,0.0,0.0,0.39,2.21,0.0
20230410:0510,46.43,80.87,8.3,0.63,2.07,0.0
20230410:0610,246.73,308.76,18.4,3.21,1.79,0.0
20230410:0710,455.14,535.67,28.2,5.99,2.83,0.0
20230410:0810,598.47,702.01,37.16,7.65,4.07,0.0
20230410:0910,743.8,889.82,44.54,8.8,3.86,0.0
20230410:1010,635.8,760.69,49.28,9.41,3.66,0.0
20230410:1110,638.21,769.17,50.32,10.23,3.38,0.0
20230410:1210,590.98,714.26,47.39,10.82,2.9,0.0
20230410:1310,639.19,774.24,41.23,11.29,2.9,0.0
20230410:1410,528.53,635.6,32.98,11.26,2.83,0.0
20230410:1510,347.27,427.19,23.54,11.11,2.34,0.0
20230410:1610,134.67,196.2,13.54,10.64,2.0,0.0
20230410:1710,4.29,14.33,3.43,9.61,1.59,0.0
20230410:1810,0.0,0.0,0.0,8.08,1.59,0.0
20230410:1910,0.0,0.0,0.0,6.95,1.52,0.0
20230410:2010,0.0,0.0,0.0,5.66,1.79,0.0
20230410:2110,0.0,0.0,0.0,4.59,2.0,0.0
20230410:2210,0.0,0.0,0.0,3.55,1.93,0.0
20230410:2310,0.0,0.0,0.0,3.06,1.93,0.0
20230411:0010,0.0,0.0,0.0,2.39,1.93,0.0
20230411:0110,0.0,0.0,0.0,2.26,2.0,0.0
20230411:0210,0.0,0.0,0.0,2.25,2.14,0.0
20230411:0310,0.0,0.0,0.0,2.14,2.21,0.0
20230411:0410,0.0,0.0,0.0,2.12,2.14,0.0
20230411:0510,2.95,11.71,8.62,2.37,2.0,0.0
20230411:0610,23.54,40.98,18.72,4.61,1.66,0.0
20230411:0710,184.6,227.57,28.52,6.99,1.45,0.0
20230411:0810,244.24,299.31,37.5,10.07,1.66,0.0
20230411:0910,297.73,366.42,44.9,12.53,1.59,0.0
20230411:1010,114.49,152.2,49.65,13.47,1.59,0.0
20230411:1110,121.61,160.01,50.69,12.82,1.79,0.0
20230411:1210,209.81,262.13,47.72,11.27,1.03,0.0
20230411:1310,73.09,102.44,41.52,10.96,1.17,0.0
20230411:1410,73.82,103.42,33.23,10.88,0.41,0.0
20230411:1510,74.17,103.42,23.77,10.6,2.0,0.0
20230411:1610,19.24,36.1,13.76,9.61,2.21,0.0
20230411:1710,0.81,7.64,3.66,9.0,2.14,0.0
20230411:1810,0.0,0.0,0.0,8.07,1.93,0.0
20230411:1910,0.0,0.0,0.0,7.27,2.55,0.0
20230411:2010,0.0,0.0,0.0,6.29,2.9,0.0
20230411:2110,0.0,0.0,0.0,5.71,2.97,0.0
20230411:2210,0.0,0.0,0.0,5.22,3.03,0.0
20230411:2310,0.0,0.0,0.0,4.78,2.9,0.0
20230412:0010,0.0,0.0,0.0,4.23,2.55,0.0
20230412:0110,0.0,0.0,0.0,3.25,2.07,0.0
20230412:0210,0.0,0.0,0.0,2.29,1.86,0.0
20230412:0310,0.0,0.0,0.0,1.37,1.79,0.0
20230412:0410,0.0,0.0,0.0,0.6,1.72,0.0
20230412:0510,54.46,96.47,8.93,0.45,1.38,0.0
20230412:0610,251.09,315.47,19.04,3.87,0.76,0.0
20230412:0710,325.6,393.93,28.85,7.9,0.55,0.0
20230412:0810,503.55,618.05,37.84,9.44,0.28,0.0
20230412:0910,453.06,556.28,45.26,10.56,0.55,0.0
20230412:1010,308.38,379.1,50.02,11.74,1.24,0.0
20230412:1110,552.33,677.4,51.05,12.28,2.07,0.0
20230412:1210,382.62,464.69,48.04,12.62,2.9,0.0
20230412:1310,273.73,335.29,41.8,12.84,3.45,0.0
20230412:1410,411.82,496.39,33.48,12.84,3.45,0.0
20230412:1510,253.72,314.9,23.99,12.99,3.17,0.0
20230412:1610,64.48,94.01,13.98,12.72,2.48,0.0
20230412:1710,0.03,5.73,3.88,11.65,2.34,0.0
20230412:1810,0.0,0.0,0.0,10.21,2.41,0.0
20230412:1910,0.0,0.0,0.0,10.15,2.21,0.0
20230412:2010,0.0,0.0,0.0,9.36,2.28,0.0
20230412:2110,0.0,0.0,0.0,8.77,2.28,0.0
20230412:2210,0.0,0.0,0.0,8.4,2.14,0.0
20230412:2310,0.0,0.0,0.0,8.08,2.0,0.0
20230413:0010,0.0,0.0,0.0,7.72,1.86,0.0
20230413:0110,0.0,0.0,0.0,7.36,1.59,0.0
20230413:0210,0.0,0.0,0.0,7.1,1.31,0.0
20230413:0310,0.0,0.0,0.0,6.54,1.17,0.0
20230413:0410,0.0,0.0,0.0,6.31,1.03,0.0
20230413:0510,1.84,9.76,9.25,6.25,0.76,0.0
20230413:0610,10.88,24.39,19.35,7.45,0.48,0.0
20230413:0710,34.75,55.61,29.17,8.14,1.79,0.0
20230413:0810,81.21,110.25,38.18,7.65,2.41,0.0
20230413:0910,287.51,343.48,45.62,7.06,2.83,0.0
20230413:1010,353.73,419.44,50.39,6.92,2.9,0.0
20230413:1110,113.14,146.35,51.41,7.25,2.9,0.0
20230413:1210,372.64,442.14,48.36,7.22,2.69,0.0
20230413:1310,89.86,120.01,42.08,7.61,3.31,0.0
20230413:1410,43.74,66.35,33.72,7.61,3.31,0.0
20230413:1510,138.43,175.22,24.22,7.58,3.17,0.0
20230413:1610,60.68,86.99,14.2,7.43,3.38,0.0
20230413:1710,0.42,6.69,4.1,6.96,3.1,0.0
20230413:1810,0.0,0.0,0.0,6.25,2.9,0.0
20230413:1910,0.0,0.0,0.0,5.46,3.59,0.0
20230413:2010,0.0,0.0,0.0,4.91,3.66,0.0
20230413:2110,0.0,0.0,0.0,4.56,4.0,0.0
20230413:2210,0.0,0.0,0.0,4.36,4.14,0.0
20230413:2310,0.0,0.0,0.0,4.11,4.34,0.0
20230414:0010,0.0,0.0,0.0,3.82,4.62,0.0
20230414:0110,0.0,0.0,0.0,3.41,4.76,0.0
20230414:0210,0.0,0.0,0.0,2.8,4.76,0.0
20230414:0310,0.0,0.0,0.0,2.58,4.9,0.0
20230414:0410,0.0,0.0,0.0,2.45,4.83,0.0
20230414:0510,2.42,10.73,9.55,2.5,4.97,0.0
20230414:0610,18.47,34.15,19.66,2.59,4.76,0.0
20230414:0710,42.31,63.42,29.49,2.92,4.41,0.0
20230414:0810,43.84,65.37,38.52,3.43,3.93,0.0
20230414:0910,131.13,163.91,45.97,3.68,4.0,0.0
20230414:1010,130.29,162.94,50.76,3.32,3.24,0.0
20230414:1110,240.81,285.85,51.76,3.38,3.03,0.0
20230414:1210,170.97,208.79,48.68,4.26,3.31,0.0
20230414:1310,147.79,183.42,42.36,4.69,3.1,0.0
20230414:1410,103.97,134.64,33.97,4.91,2.9,0.0
20230414:1510,72.91,99.52,24.45,4.71,2.21,0.0
20230414:1610,40.21,61.47,14.42,4.72,1.79,0.0
20230414:1710,2.26,10.51,4.33,4.7,1.66,0.0
20230414:1810,0.0,0.0,0.0,4.42,1.72,0.0
20230414:1910,0.0,0.0,0.0,3.99,2.14,0.0
20230414:2010,0.0,0.0,0.0,4.0,2.34,0.0
20230414:2110,0.0,0.0,0.0,4.0,2.41,0.0
20230414:2210,0.0,0.0,0.0,4.0,2.34,0.0
20230414:2310,0.0,0.0,0.0,3.99,2.28,0.0
20230415:0010,0.0,0.0,0.0,3.94,1.93,0.0
20230415:0110,0.0,0.0,0.0,3.79,1.52,0.0
20230415:0210,0.0,0.0,0.0,3.72,1.38,0.0
20230415:0310,0.0,0.0,0.0,3.68,1.17,0.0
20230415:0410,0.0,0.0,0.0,3.63,1.03,0.0
20230415:0510,3.48,12.68,9.86,3.63,0.83,0.0
20230415:0610,26.68,44.88,19.97,4.09,0.62,0.0
20230415:0710,47.64,70.25,29.81,4.31,0.83,0.0
20230415:0810,203.56,247.84,38.85,4.93,0.76,0.0
20230415:0910,182.32,224.4,46.33,5.89,1.24,0.0
20230415:1010,366.64,437.72,51.12,6.58,1.52,0.0
20230415:1110,358.6,429.87,52.11,7.23,1.45,0.0
20230415:1210,377.93,454.96,49.0,8.1,1.24,0.0
20230415:1310,359.34,433.48,42.63,8.5,1.03,0.0
20230415:1410,123.44,160.01,34.21,8.92,0.62,0.0
20230415:1510,149.22,190.49,24.67,9.33,0.28,0.0
20230415:1610,124.55,174.22,14.64,9.04,0.41,0.0
20230415:1710,6.07,17.2,4.55,8.24,0.76,0.0
20230415:1810,0.0,0.0,0.0,7.03,0.83,0.0
20230415:1910,0.0,0.0,0.0,5.83,0.62,0.0
20230415:2010,0.0,0.0,0.0,5.72,0.48,0.0
20230415:2110,0.0,0.0,0.0,4.25,0.9,0.0
20230415:2210,0.0,0.0,0.0,2.61,1.1,0.0
20230415:2310,0.0,0.0,0.0,1.77,1.1,0.0
20230416:0010,0.0,0.0,0.0,1.27,1.03,0.0
20230416:0110,0.0,0.0,0.0,0.64,1.17,0.0
20230416:0210,0.0,0.0,0.0,0.22,1.24,0.0
20230416:0310,0.0,0.0,0.0,0.39,1.24,0.0
20230416:0410,0.0,0.0,0.0,0.8,1.31,0.0
20230416:0510,39.16,60.72,10.16,1.53,1.03,0.0
20230416:0610,115.49,148.87,20.27,4.69,0.62,0.0
20230416:0710,163.59,202.83,30.12,5.61,1.1,0.0
20230416:0810,222.79,269.73,39.18,6.78,2.55,0.0
20230416:0910,357.1,424.85,46.67,7.68,2.69,0.0
20230416:1010,524.46,624.44,51.49,8.07,2.83,0.0
20230416:1110,386.75,461.49,52.46,8.67,2.97,0.0
20230416:1210,181.15,224.4,49.31,8.35,2.69,0.0
20230416:1310,80.8,110.25,42.91,8.96,3.24,0.0
20230416:1410,112.21,146.35,34.45,9.07,3.1,0.0
20230416:1510,135.78,173.4,24.89,8.93,2.48,0.0
20230416:1610,44.3,67.32,14.85,8.55,2.28,0.0
20230416:1710,0.89,7.81,4.77,8.08,2.28,0.0
20230416:1810,0.0,0.0,0.0,7.39,2.48,0.0
20230416:1910,0.0,0.0,0.0,7.05,2.9,0.0
20230416:2010,0.0,0.0,0.0,6.68,2.97,0.0
20230416:2110,0.0,0.0,0.0,6.25,3.1,0.0
20230416:2210,0.0,0.0,0.0,6.47,3.31,0.0
20230416:2310,0.0,0.0,0.0,6.65,3.72,0.0
20230417:0010,0.0,0.0,0.0,6.41,3.72,0.0
20230417:0110,0.0,0.0,0.0,6.26,3.72,0.0
20230417:0210,0.0,0.0,0.0,6.47,3.86,0.0
20230417:0310,0.0,0.0,0.0,6.55,3.86,0.0
20230417:0410,0.0,0.0,0.0,6.74,3.86,0.0
20230417:0510,11.62,25.37,10.46,6.94,3.93,0.0
20230417:0610,74.7,102.56,20.57,7.51,4.14,0.0
20230417:0710,270.93,324.73,30.43,8.61,4.14,0.0
20230417:0810,388.74,460.16,39.5,9.99,5.03,0.0
20230417:0910,744.48,890.14,47.02,11.02,5.17,0.0
20230417:1010,769.35,928.31,51.84,12.02,5.24,0.0
20230417:1110,785.03,950.97,52.81,13.02,5.59,0.0
20230417:1210,627.59,753.46,49.63,12.87,5.31,0.0
20230417:1310,587.38,702.74,43.18,13.37,5.52,0.0
20230417:1410,496.34,593.88,34.69,13.82,5.38,0.0
20230417:1510,308.76,378.94,25.12,13.51,5.03,0.0
20230417:1610,114.17,159.19,15.07,12.94,4.21,0.0
20230417:1710,11.24,27.26,4.99,12.01,4.14,0.0
20230417:1810,0.0,0.0,0.0,10.88,4.41,0.0
20230417:1910,0.0,0.0,0.0,9.89,4.41,0.0
20230417:2010,0.0,0.0,0.0,9.43,4.34,0.0
20230417:2110,0.0,0.0,0.0,8.84,4.14,0.0
20230417:2210,0.0,0.0,0.0,8.38,4.0,0.0
20230417:2310,0.0,0.0,0.0,8.19,3.93,0.0
20230418:0010,0.0,0.0,0.0,8.01,3.72,0.0
20230418:0110,0.0,0.0,0.0,8.08,3.59,0.0
20230418:0210,0.0,0.0,0.0,8.1,3.45,0.0
20230418:0310,0.0,0.0,0.0,8.09,3.38,0.0
20230418:0410,0.0,0.0,0.0,8.05,3.31,0.0
20230418:0510,12.23,26.34,10.76,8.13,3.24,0.0
20230418:0610,37.12,58.54,20.87,8.6,4.55,0.0
20230418:0710,79.23,108.3,30.73,9.13,5.45,0.0
20230418:0810,120.07,155.13,39.82,9.4,4.97,0.0
20230418:0910,192.73,238.34,47.36,10.18,4.62,0.0
20230418:1010,102.22,135.62,52.2,10.68,4.41,0.0
20230418:1110,134.33,172.69,53.16,11.14,4.41,0.0
20230418:1210,147.32,188.3,49.93,12.07,4.41,0.0
20230418:1310,115.07,151.23,43.44,12.07,4.41,0.0
20230418:1410,111.63,147.33,34.93,12.1,4.21,0.0
20230418:1510,116.51,152.87,25.34,11.93,4.21,0.0
20230418:1610,72.95,103.37,15.28,11.31,3.45,0.0
20230418:1710,9.69,23.36,5.2,10.69,3.24,0.0
20230418:1810,0.0,0.0,0.0,10.2,3.17,0.0
20230418:1910,0.0,0.0,0.0,9.17,2.97,0.0
20230418:2010,0.0,0.0,0.0,9.06,3.1,0.0
20230418:2110,0.0,0.0,0.0,9.1,3.17,0.0
20230418:2210,0.0,0.0,0.0,8.91,2.97,0.0
20230418:2310,0.0,0.0,0.0,8.5,2.83,0.0
20230419:0010,0.0,0.0,0.0,7.98,2.9,0.0
20230419:0110,0.0,0.0,0.0,7.52,3.1,0.0
20230419:0210,0.0,0.0,0.0,6.88,3.24,0.0
20230419:0310,0.0,0.0,0.0,6.61,3.17,0.0
20230419:0410,0.0,0.0,0.0,6.43,3.1,0.0
20230419:0510,43.95,67.51,11.05,6.83,3.03,0.0
20230419:0610,37.2,58.54,21.16,7.99,2.9,0.0
20230419:0710,93.47,124.89,31.03,9.4,4.41,0.0
20230419:0810,159.89,201.24,40.14,10.01,3.52,0.0
20230419:0910,281.27,340.59,47.7,10.17,3.31,0.0
20230419:1010,292.36,352.25,52.55,9.59,3.72,0.0
20230419:1110,167.07,208.79,53.5,9.3,3.59,0.0
20230419:1210,161.18,201.96,50.24,9.21,3.72,0.0
20230419:1310,352.16,420.68,43.71,9.95,3.86,0.0
20230419:1410,473.7,561.76,35.16,10.4,4.07,0.0
20230419:1510,245.44,300.23,25.55,10.44,4.0,0.0
20230419:1610,149.05,209.24,15.49,10.0,3.66,0.0
20230419:1710,10.3,28.32,5.42,9.25,3.1,0.0
20230419:1810,0.0,0.0,0.0,8.36,2.9,0.0
20230419:1910,0.0,0.0,0.0,7.27,2.9,0.0
20230419:2010,0.0,0.0,0.0,6.67,2.83,0.0
20230419:2110,0.0,0.0,0.0,6.3,2.62,0.0
20230419:2210,0.0,0.0,0.0,6.02,2.41,0.0
20230419:2310,0.0,0.0,0.0,5.64,2.21,0.0
20230420:0010,0.0,0.0,0.0,5.09,2.14,0.0
20230420:0110,0.0,0.0,0.0,4.58,2.07,0.0
20230420:0210,0.0,0.0,0.0,4.14,2.0,0.0
20230420:0310,0.0,0.0,0.0,3.84,1.93,0.0
20230420:0410,0.0,0.0,0.0,3.48,1.86,0.0
20230420:0510,74.44,116.2,11.34,3.66,1.72,0.0
20230420:0610,244.21,301.49,21.45,5.51,1.86,0.0
20230420:0710,466.54,555.88,31.33,6.77,1.52,0.0
20230420:0810,634.44,776.77,40.45,8.41,0.97,0.0
20230420:0910,691.6,869.91,48.03,10.18,0.69,0.0
20230420:1010,758.23,966.3,52.9,11.46,1.03,0.0
20230420:1110,740.36,937.87,53.84,12.14,1.38,0.0
20230420:1210,631.88,787.63,50.54,12.47,1.45,0.0
20230420:1310,510.27,628.37,43.97,13.12,1.52,0.0
20230420:1410,472.05,579.25,35.4,13.32,1.52,0.0
20230420:1510,326.17,405.22,25.77,13.22,1.72,0.0
20230420:1610,144.87,205.63,15.71,12.75,1.66,0.0
20230420:1710,9.96,29.09,5.64,12.04,1.38,0.0
20230420:1810,0.0,0.0,0.0,11.12,1.1,0.0
20230420:1910,0.0,0.0,0.0,10.87,0.97,0.0
20230420:2010,0.0,0.0,0.0,10.83,0.83,0.0
20230420:2110,0.0,0.0,0.0,11.16,0.48,0.0
20230420:2210,0.0,0.0,0.0,10.85,0.34,0.0
20230420:2310,0.0,0.0,0.0,10.43,0.21,0.0
20230421:0010,0.0,0.0,0.0,9.93,0.28,0.0
20230421:0110,0.0,0.0,0.0,9.44,0.62,0.0
20230421:0210,0.0,0.0,0.0,8.46,0.97,0.0
20230421:0310,0.0,0.0,0.0,7.16,1.17,0.0
20230421:0410,0.0,0.96,1.67,7.01,1.17,0.0
20230421:0510,76.66,122.23,11.62,7.67,0.97,0.0
20230421:0610,259.94,329.03,21.74,8.84,0.34,0.0
20230421:0710,453.49,557.26,31.62,11.09,0.62,0.0
20230421:0810,530.55,651.87,40.76,12.33,1.38,0.0
20230421:0910,713.47,892.62,48.36,13.54,2.07,0.0
20230421:1010,771.94,976.67,53.24,14.51,2.34,0.0
20230421:1110,804.29,1027.55,54.17,14.83,2.21,0.0
20230421:1210,754.44,958.75,50.84,15.12,2.07,0.0
20230421:1310,244.42,306.55,44.23,15.13,1.86,0.0
20230421:1410,513.55,634.93,35.63,15.06,1.79,0.0
20230421:1510,117.56,156.7,25.99,15.01,2.0,0.0
20230421:1610,148.07,212.1,15.91,14.74,1.93,0.0
20230421:1710,14.32,35.9,5.85,13.83,1.17,0.0
20230421:1810,0.0,0.0,0.0,12.11,1.1,0.0
20230421:1910,0.0,0.0,0.0,11.63,1.24,0.0
20230421:2010,0.0,0.0,0.0,10.25,1.38,0.0
20230421:2110,0.0,0.0,0.0,8.93,1.52,0.0
20230421:2210,0.0,0.0,0.0,7.95,1.59,0.0
20230421:2310,0.0,0.0,0.0,7.08,1.72,0.0
20230422:0010,0.0,0.0,0.0,6.57,1.86,0.0
20230422:0110,0.0,0.0,0.0,6.22,1.93,0.0
20230422:0210,0.0,0.0,0.0,5.86,2.0,0.0
20230422:0310,0.0,0.0,0.0,5.57,2.0,0.0
20230422:0410,0.0,1.91,1.96,5.3,2.0,0.0
20230422:0510,82.06,131.36,11.9,5.83,1.66,0.0
20230422:0610,271.81,343.96,22.02,9.88,0.97,0.0
20230422:0710,466.28,574.46,31.91,13.04,1.24,0.0
20230422:0810,635.45,788.95,41.07,14.78,2.21,0.0
20230422:0910,745.27,933.79,48.69,15.87,3.1,0.0
20230422:1010,782.84,986.79,53.59,16.72,3.52,0.0
20230422:1110,730.67,919.95,54.5,17.37,3.52,0.0
20230422:1210,597.75,745.06,51.14,17.51,3.31,0.0
20230422:1310,685.13,856.14,44.49,17.45,3.31,0.0
20230422:1410,544.38,672.25,35.86,17.53,3.38,0.0
20230422:1510,346.51,434.46,26.2,17.11,3.17,0.0
20230422:1610,153.34,221.2,16.12,16.63,2.9,0.0
20230422:1710,15.45,38.48,6.06,15.39,2.62,0.0
20230422:1810,0.0,0.0,0.0,13.74,2.34,0.0
20230422:1910,0.0,0.0,0.0,13.22,2.41,0.0
20230422:2010,0.0,0.0,0.0,12.14,2.28,0.0
20230422:2110,0.0,0.0,0.0,11.35,2.21,0.0
20230422:2210,0.0,0.0,0.0,10.62,2.14,0.0
20230422:2310,0.0,0.0,0.0,10.04,2.07,0.0
20230423:0010,0.0,0.0,0.0,9.35,2.07,0.0
20230423:0110,0.0,0.0,0.0,8.82,2.14,0.0
