,elec,heat
2023-01-01 00:00:00+00:00,0.4211095548271949,0.23375842899950083
2023-01-01 00:15:00+00:00,0.4333515542114072,0.19182647488082744
2023-01-01 00:30:00+00:00,0.477604462849622,0.18025484085605717
2023-01-01 00:45:00+00:00,0.46009816295254624,0.06926971274016548
2023-01-01 01:00:00+00:00,0.36703472261290226,0.1310461197764317
2023-01-01 01:15:00+00:00,0.3877947760787287,0.25062792275352846
2023-01-01 01:30:00+00:00,0.4637133650611255,0.18318958151841602
2023-01-01 01:45:00+00:00,0.41397379126551753,0.1714575081716235
2023-01-01 02:00:00+00:00,0.4387426400252515,0.06703864134195817
2023-01-01 02:15:00+00:00,0.42430151122045967,0.18103749085978638
2023-01-01 02:30:00+00:00,0.40833808946335554,0.16076522001468782
2023-01-01 02:45:00+00:00,0.4249557558102003,0.22884480203109275
2023-01-01 03:00:00+00:00,0.42121763509808735,0.24150263645050393
2023-01-01 03:15:00+00:00,0.3991283295413226,0.20481302599403697
2023-01-01 03:30:00+00:00,0.42254270231921554,0.19268094440809366
2023-01-01 03:45:00+00:00,0.39800839727668424,0.19999330384332675
2023-01-01 04:00:00+00:00,0.39562929465958413,0.16578644254210173
2023-01-01 04:15:00+00:00,0.4381463744521112,0.05049845293367204
2023-01-01 04:30:00+00:00,0.43492476098499294,0.0878830494398657
2023-01-01 04:45:00+00:00,0.44873008474384884,0.15694284845897424
2023-01-01 05:00:00+00:00,0.4147174436644342,0.03840905185724422
2023-01-01 05:15:00+00:00,0.4312493744290732,0.07652698393185828
2023-01-01 05:30:00+00:00,0.4254172328579822,0.16984347491174365
2023-01-01 05:45:00+00:00,0.37024855221491837,0.2053785921408877
2023-01-01 06:00:00+00:00,0.46308338482199296,0.18691073720872592
2023-01-01 06:15:00+00:00,0.391814003062511,0.1942542371982741
2023-01-01 06:30:00+00:00,0.35989685698287627,0.11685598267941327
2023-01-01 06:45:00+00:00,0.4386625405603309,0.07037781218814171
2023-01-01 07:00:00+00:00,0.3479873109684366,0.14801538931906078
2023-01-01 07:15:00+00:00,0.4134078343047981,0.10062866627878621
2023-01-01 07:30:00+00:00,0.4400818190005551,0.1236255287649935
2023-01-01 07:45:00+00:00,0.4588996707062232,0.2085287371446044
2023-01-01 08:00:00+00:00,0.43896005411386113,0.18360532795236145
2023-01-01 08:15:00+00:00,0.3529924888452573,0.16424705262463907
2023-01-01 08:30:00+00:00,0.4225932855137411,0.17226733861934376
2023-01-01 08:45:00+00:00,0.41573374076534,0.18132506946746876
2023-01-01 09:00:00+00:00,0.41392949574409094,0.20595405702762637
2023-01-01 09:15:00+00:00,0.43101750124455857,0.15556793379686432
2023-01-01 09:30:00+00:00,0.41355266709501787,0.12918622103719518
2023-01-01 09:45:00+00:00,0.3974082640117355,0.1758655518036827
2023-01-01 10:00:00+00:00,0.44615583261552283,0.1548782531177488
2023-01-01 10:15:00+00:00,0.41081643473208374,0.1339192611104347
2023-01-01 10:30:00+00:00,0.4145236747533276,0.11788006440774945
2023-01-01 10:45:00+00:00,0.44569311474102785,0.15694549192029597
2023-01-01 11:00:00+00:00,0.4355660881805805,0.19355133905562244
2023-01-01 11:15:00+00:00,0.4610253283091102,0.07473095589081899
2023-01-01 11:30:00+00:00,0.3632730718319871,0.15184195034650044
2023-01-01 11:45:00+00:00,0.45465613159558854,0.2738533860817294
2023-01-01 12:00:00+00:00,0.4344632748904021,0.13267563187451892
2023-01-01 12:15:00+00:00,0.38503221998814957,0.1725150185724866
2023-01-01 12:30:00+00:00,0.4459263197614269,0.1008231557627377
2023-01-01 12:45:00+00:00,0.4109646593576322,0.16518481092065204
2023-01-01 13:00:00+00:00,0.39613758777126473,0.13721409588280303
2023-01-01 13:15:00+00:00,0.35101849658325424,0.09201955340267716
2023-01-01 13:30:00+00:00,0.47090378367319563,0.1649230083393111
2023-01-01 13:45:00+00:00,0.4431886639334584,0.16421441144637589
2023-01-01 14:00:00+00:00,0.4078712992107676,0.1562316544706707
2023-01-01 14:15:00+00:00,0.40579563100299276,0.1373248797745829
2023-01-01 14:30:00+00:00,0.4137750769212189,0.16342546869042765
2023-01-01 14:45:00+00:00,0.44930915103109714,0.2574661206767016
2023-01-01 15:00:00+00:00,0.39146788196683885,0.18784118421492108
2023-01-01 15:15:00+00:00,0.38424634324794443,0.20623732580017565
2023-01-01 15:30:00+00:00,0.40328863173804635,0.11088843961285424
2023-01-01 15:45:00+00:00,0.4543937484211523,0.13957375934327665
2023-01-01 16:00:00+00:00,0.462693214553018,0.15264981651423432
2023-01-01 16:15:00+00:00,0.35615610313975027,0.16765252648480045
2023-01-01 16:30:00+00:00,0.428625625861221,0.2354422939006793
2023-01-01 16:45:00+00:00,0.47770462845481193,0.20019085559987443
2023-01-01 17:00:00+00:00,0.4368476348503771,0.1837058617402451
2023-01-01 17:15:00+00:00,0.4422156528700258,0.25187567002126265
2023-01-01 17:30:00+00:00,0.43479145759901944,0.1339313328139784
2023-01-01 17:45:00+00:00,0.4372247264180925,0.21733837041626958
2023-01-01 18:00:00+00:00,0.44793475457541676,0.19911590122223682
2023-01-01 18:15:00+00:00,0.4215027080275387,0.05850049705346817
2023-01-01 18:30:00+00:00,0.36922344465110224,0.1265080791864118
2023-01-01 18:45:00+00:00,0.4485655102522666,0.15519433781920322
2023-01-01 19:00:00+00:00,0.406958207104311,0.19220390555883815
2023-01-01 19:15:00+00:00,0.4398975240629762,0.1535636420266729
2023-01-01 19:30:00+00:00,0.42896017005252685,0.17234565025145135
